time_step,spx
0,2000
1,2000
2,2000
3,2000
4,2000
5,2000
6,2000
7,2000
8,2000
9,2000
10,2000
11,2000
12,2000
13,2000
14,2000
15,2000
16,2000
17,2000
18,2000
19,2000
20,2000
21,2000
22,2000
23,2000
24,2000
25,2000
26,2000
27,2000
28,2000
29,2000
30,2000
31,2000
32,2000
33,2000
34,2000
35,2000
36,2000
37,2000
38,2000
39,2000
40,2000
41,2000
42,2000
43,2000
44,2000
45,2000
46,2000
47,2000
48,2000
49,2000
50,2000
51,2000
52,2000
53,2000
54,2000
55,2000
56,2000
57,2000
58,2000
59,2000
60,2000
61,2000
62,2000
63,2000
64,2000
65,2000
66,2000
67,2000
68,2000
69,2000
70,2000
71,2000
72,2000
73,2000
74,2000
75,2000
76,2000
77,2000
78,2000
79,2000
80,2000
81,2000
82,2000
83,2000
84,2000
85,2000
86,2000
87,2000
88,2000
89,2000
90,2000
91,2000
92,2000
93,2000
94,2000
95,2000
96,2000
97,2000
98,2000
99,2000
100,2000
0,2000
1,2000
2,2000
3,2000
4,2000
5,2000
6,2000
7,2000
8,2000
9,2000
10,2000
11,2000
12,2000
13,2000
14,2000
15,2000
16,2000
17,2000
18,2000
19,2000
20,2000
21,2000
22,2000
23,2000
24,2000
25,2000
26,2000
27,2000
28,2000
29,2000
30,2000
31,2000
32,2000
33,2000
34,2000
35,2000
36,2000
37,2000
38,2000
39,2000
40,2000
41,2000
42,2000
43,2000
44,2000
45,2000
46,2000
47,2000
48,2000
49,2000
50,2000
51,2000
52,2000
53,2000
54,2000
55,2000
56,2000
57,2000
58,2000
59,2000
60,2000
61,2000
62,2000
63,2000
64,2000
65,2000
66,2000
67,2000
68,2000
69,2000
70,2000
71,2000
72,2000
73,2000
74,2000
75,2000
76,2000
77,2000
78,2000
79,2000
80,2000
81,2000
82,2000
83,2000
84,2000
85,2000
86,2000
87,2000
88,2000
89,2000
90,2000
91,2000
92,2000
93,2000
94,2000
95,2000
96,2000
97,2000
98,2000
99,2000
100,2000
